id	ul	term	pref	replacement
http://data.loterre.fr/ark:/67375/p66-b1twzgxg-d.0	quality	quality	quality	quality
http://data.loterre.fr/ark:/67375/p66-n6gdmc82-t.0	material entity	material entity	material entity	material_entity
http://data.loterre.fr/ark:/67375/p66-rv949j4g-9.0	process	process	process	process
http://data.loterre.fr/ark:/67375/p66-w1gsdwf6-l.0	phenomenon	phenomenon	phenomenon	phenomenon
http://data.loterre.fr/ark:/67375/p66-w1gsdwf6-l.1	empirical effect	empirical effect	phenomenon	phenomenon
http://data.loterre.fr/ark:/67375/p66-w1gsdwf6-l.2	empirical generalization	empirical generalization	phenomenon	phenomenon
http://data.loterre.fr/ark:/67375/p66-w1gsdwf6-l.3	general empirical observation	general empirical observation	phenomenon	phenomenon
http://data.loterre.fr/ark:/67375/p66-w5k1htkd-q.0	information entity	information entity	information entity	information_entity
http://data.loterre.fr/ark:/67375/p66-w5k1htkd-q.1	information content entity	information content entity	information entity	information_entity
http://data.loterre.fr/ark:/67375/p66-wfxsb9h1-0.0	disposition	disposition	disposition	disposition
http://data.loterre.fr/ark:/67375/p66-wfxsb9h1-0.1	capability	capability	disposition	disposition
http://data.loterre.fr/ark:/67375/p66-wfxsb9h1-0.2	function	function	disposition	disposition
http://data.loterre.fr/ark:/67375/p66-wfxsb9h1-0.3	potentiality	potentiality	disposition	disposition
http://data.loterre.fr/ark:/67375/p66-sjggk67s-6.0	cognitive quality	cognitive quality	cognitive quality	cognitive_quality
http://data.loterre.fr/ark:/67375/p66-dbq2d6hp-t.0	object	object	object	object
http://data.loterre.fr/ark:/67375/p66-v4bbrg7z-g.0	biological material entity	biological material entity	biological material entity	biological_material_entity
http://data.loterre.fr/ark:/67375/p66-v4bbrg7z-g.1	biological entity	biological entity	biological material entity	biological_material_entity
http://data.loterre.fr/ark:/67375/p66-m9g3m45v-3.0	developmental process	developmental process	developmental process	developmental_process
http://data.loterre.fr/ark:/67375/p66-m9g3m45v-3.1	development	development	developmental process	developmental_process
http://data.loterre.fr/ark:/67375/p66-nbzlnbw5-l.0	planned process	planned process	planned process	planned_process
http://data.loterre.fr/ark:/67375/p66-rz2x1nz0-k.0	neurophysiological process	neurophysiological process	neurophysiological process	neurophysiological_process
http://data.loterre.fr/ark:/67375/p66-wj06b2zs-0.0	cognitive process	cognitive process	cognitive process	cognitive_process
http://data.loterre.fr/ark:/67375/p66-zsmr5965-w.0	emotion process	emotion process	emotion process	emotion_process
http://data.loterre.fr/ark:/67375/p66-zsmr5965-w.1	emotional process	emotional process	emotion process	emotion_process
http://data.loterre.fr/ark:/67375/p66-zsmr5965-w.2	emotional state	emotional state	emotion process	emotion_process
http://data.loterre.fr/ark:/67375/p66-rqwf016q-4.0	memory phenomenon	memory phenomenon	memory phenomenon	memory_phenomenon
http://data.loterre.fr/ark:/67375/p66-rqwf016q-4.1	memory effect	memory effect	memory phenomenon	memory_phenomenon
http://data.loterre.fr/ark:/67375/p66-rqwf016q-4.2	mnesic phenomenon	mnesic phenomenon	memory phenomenon	memory_phenomenon
http://data.loterre.fr/ark:/67375/p66-wn2mnb4d-f.0	metamemory phenomenon	metamemory phenomenon	metamemory phenomenon	metamemory_phenomenon
http://data.loterre.fr/ark:/67375/p66-wn2mnb4d-f.1	metamnesic phenomenon	metamnesic phenomenon	metamemory phenomenon	metamemory_phenomenon
http://data.loterre.fr/ark:/67375/p66-wpqbvf2t-w.0	learning phenomenon	learning phenomenon	learning phenomenon	learning_phenomenon
http://data.loterre.fr/ark:/67375/p66-wx8v5k34-1.0	attention phenomenon	attention phenomenon	attention phenomenon	attention_phenomenon
http://data.loterre.fr/ark:/67375/p66-wx8v5k34-1.1	attentional phenomenon	attentional phenomenon	attention phenomenon	attention_phenomenon
http://data.loterre.fr/ark:/67375/p66-h4ft93q9-1.0	format	format	format	format
http://data.loterre.fr/ark:/67375/p66-j0bwmkt5-v.0	theoretical entity	theoretical entity	theoretical entity	theoretical_entity
http://data.loterre.fr/ark:/67375/p66-ncpxf8kn-9.0	mathematical function	mathematical function	mathematical function	mathematical_function
http://data.loterre.fr/ark:/67375/p66-rm7wh4hs-j.0	algorithm	algorithm	algorithm	algorithm
http://data.loterre.fr/ark:/67375/p66-t1j15dpm-t.0	graph	graph	graph	graph
http://data.loterre.fr/ark:/67375/p66-t1j15dpm-t.1	figure	figure	graph	graph
http://data.loterre.fr/ark:/67375/p66-w7jrb81f-0.0	software	software	software	software
http://data.loterre.fr/ark:/67375/p66-w7jrb81f-0.1	computer program	computer program	software	software
http://data.loterre.fr/ark:/67375/p66-xm9k9xl8-s.0	measure	measure	measure	measure
http://data.loterre.fr/ark:/67375/p66-xm9k9xl8-s.1	measurement	measurement	measure	measure
http://data.loterre.fr/ark:/67375/p66-zdxxppfz-r.0	cue	cue	cue	cue
http://data.loterre.fr/ark:/67375/p66-zdxxppfz-r.1	contextual reminder	contextual reminder	cue	cue
http://data.loterre.fr/ark:/67375/p66-zdxxppfz-r.2	memory cue	memory cue	cue	cue
http://data.loterre.fr/ark:/67375/p66-b2kf0pfr-8.0	cognitive disorder	cognitive disorder	cognitive disorder	cognitive_disorder
http://data.loterre.fr/ark:/67375/p66-b2kf0pfr-8.1	cognitive dysfunction	cognitive dysfunction	cognitive disorder	cognitive_disorder
http://data.loterre.fr/ark:/67375/p66-b2kf0pfr-8.2	cognitive dysfunctioning	cognitive dysfunctioning	cognitive disorder	cognitive_disorder
http://data.loterre.fr/ark:/67375/p66-b2kf0pfr-8.3	cognitive impairment	cognitive impairment	cognitive disorder	cognitive_disorder
http://data.loterre.fr/ark:/67375/p66-gkhvf60l-q.0	cognition	cognition	cognition	cognition
http://data.loterre.fr/ark:/67375/p66-gkhvf60l-q.1	cognitive ability	cognitive ability	cognition	cognition
http://data.loterre.fr/ark:/67375/p66-gkhvf60l-q.2	cognitive capability	cognitive capability	cognition	cognition
http://data.loterre.fr/ark:/67375/p66-gkhvf60l-q.3	cognitive disposition	cognitive disposition	cognition	cognition
http://data.loterre.fr/ark:/67375/p66-msjwrprn-5.0	affordance	affordance	affordance	affordance
http://data.loterre.fr/ark:/67375/p66-b5nb9g8j-f.0	study method	study method	study method	study_method
http://data.loterre.fr/ark:/67375/p66-bm3dgwc3-l.0	scientific law	scientific law	scientific law	scientific_law
http://data.loterre.fr/ark:/67375/p66-bm3dgwc3-l.1	law of nature	law of nature	scientific law	scientific_law
http://data.loterre.fr/ark:/67375/p66-bzbrk6x8-1.0	study method of memory	study method of memory	study method of memory	study_method_of_memory
http://data.loterre.fr/ark:/67375/p66-d5hx1zr6-w.0	child development	child development	child development	child_development
http://data.loterre.fr/ark:/67375/p66-jt2ddssz-4.0	theory	theory	theory	theory
http://data.loterre.fr/ark:/67375/p66-jt2ddssz-4.1	theoretical framework	theoretical framework	theory	theory
http://data.loterre.fr/ark:/67375/p66-n7xgnqgg-j.0	principle	principle	principle	principle
http://data.loterre.fr/ark:/67375/p66-qn84v90n-v.0	non-computational model	non-computational model	non-computational model	non_computational_model
http://data.loterre.fr/ark:/67375/p66-qn84v90n-v.1	conceptual model	conceptual model	non-computational model	non_computational_model
http://data.loterre.fr/ark:/67375/p66-qn84v90n-v.2	graphical model	graphical model	non-computational model	non_computational_model
http://data.loterre.fr/ark:/67375/p66-qn84v90n-v.3	verbal model	verbal model	non-computational model	non_computational_model
http://data.loterre.fr/ark:/67375/p66-s3zkgv8v-h.0	infant development	infant development	infant development	infant_development
http://data.loterre.fr/ark:/67375/p66-xjkphb5x-m.0	model	model	model	model
http://data.loterre.fr/ark:/67375/p66-c25bh10l-t.0	memory strength	memory strength	memory strength	memory_strength
http://data.loterre.fr/ark:/67375/p66-hj05dkhc-2.0	memory organization	memory organization	memory organization	memory_organization
http://data.loterre.fr/ark:/67375/p66-hj05dkhc-2.1	memory structuration	memory structuration	memory organization	memory_organization
http://data.loterre.fr/ark:/67375/p66-hj05dkhc-2.2	memory structure	memory structure	memory organization	memory_organization
http://data.loterre.fr/ark:/67375/p66-jjm51q6h-4.0	emotional arousal	emotional arousal	emotional arousal	emotional_arousal
