term,replacement
1 2-α-L-Fucosidase,1 2-α-L-Fucosidase
EC 3−2−1−63,1 2-α-L-Fucosidase
Almond emulsin fucosidase II,1 2-α-L-Fucosidase
EC 3.2.1.63,1 2-α-L-Fucosidase
Glycosidases,Glycosidases
EC 3−2−1.,Glycosidases
EC 3.2.1.,Glycosidases
O-Glycosidases,Glycosidases
S-Glycosidases,Glycosidases
1 2-β-Fructan 1F-fructosyltransferase,1 2-β-Fructan 1F-fructosyltransferase
EC 2−4−1−100,1 2-β-Fructan 1F-fructosyltransferase
EC 2.4.1.100,1 2-β-Fructan 1F-fructosyltransferase
Hexosyltransferases,Hexosyltransferases
EC 2−4−1.,Hexosyltransferases
EC 2.4.1.,Hexosyltransferases
1 2-Cyclic-inositol-phosphate phosphodiesterase,1 2-Cyclic-inositol-phosphate phosphodiesterase
EC 3−1−4−36,1 2-Cyclic-inositol-phosphate phosphodiesterase
1:2-Cyclic-inositol-monophosphate phosphodiesterase,1 2-Cyclic-inositol-phosphate phosphodiesterase
EC 3.1.4.36,1 2-Cyclic-inositol-phosphate phosphodiesterase
Phosphoric diester hydrolases,Phosphoric diester hydrolases
EC 3−1−4.,Phosphoric diester hydrolases
EC 3.1.4.,Phosphoric diester hydrolases
1 2-Dehydroreticulinium reductase (NADPH),1 2-Dehydroreticulinium reductase (NADPH)
EC 1−5−1−27,1 2-Dehydroreticulinium reductase (NADPH)
1 2-Dehydroreticulinium ion reductase,1 2-Dehydroreticulinium reductase (NADPH)
EC 1.5.1.27,1 2-Dehydroreticulinium reductase (NADPH)
Oxidoreductases,Oxidoreductases
EC 1.,Oxidoreductases
1 2-Diacylglycerol 3-β-galactosyltransferase,1 2-Diacylglycerol 3-β-galactosyltransferase
EC 2−4−1−46,1 2-Diacylglycerol 3-β-galactosyltransferase
UDPgalactose-1 2-diacylglycerol galactosyltransferase,1 2-Diacylglycerol 3-β-galactosyltransferase
EC 2.4.1.46,1 2-Diacylglycerol 3-β-galactosyltransferase
1 2-Diacylglycerol 3-glucosyltransferase,1 2-Diacylglycerol 3-glucosyltransferase
EC 2−4−1−157,1 2-Diacylglycerol 3-glucosyltransferase
EC 2.4.1.157,1 2-Diacylglycerol 3-glucosyltransferase
Thioctic acid,Thioctic acid
Lipoic acid β,Lipoic acid β
Lipoic acid,Lipoic acid
1 3-α-L-Fucosidase,1 3-α-L-Fucosidase
EC 3−2−1−111,1 3-α-L-Fucosidase
Almond emulsin fucosidase I,1 3-α-L-Fucosidase
EC 3.2.1.111,1 3-α-L-Fucosidase
1 3-β-D-Glucan phosphorylase,1 3-β-D-Glucan phosphorylase
EC 2−4−1−97,1 3-β-D-Glucan phosphorylase
Laminarin phosphoryltransferase,1 3-β-D-Glucan phosphorylase
Laminarin phosphorylase,1 3-β-D-Glucan phosphorylase
EC 2.4.1.97,1 3-β-D-Glucan phosphorylase
1 3-β-Glucan synthase,1 3-β-Glucan synthase
EC 2−4−1−34,1 3-β-Glucan synthase
1 3-β-D-Glucan synthase,1 3-β-Glucan synthase
1 3-β-D-Glucan-UDP glucosyltransferase,1 3-β-Glucan synthase
UDPglucose-1 3-β-D-glucan glucosyltransferase,1 3-β-Glucan synthase
Callose synthetase,1 3-β-Glucan synthase
EC 2.4.1.34,1 3-β-Glucan synthase
1 3-β-Oligoglucan phosphorylase,1 3-β-Oligoglucan phosphorylase
EC 2−4−1−30,1 3-β-Oligoglucan phosphorylase
1 3-β-D-Oligoglucan phosphorylase,1 3-β-Oligoglucan phosphorylase
β-1 3-Oligoglucan:orthophosphate glucosyltransferase II,1 3-β-Oligoglucan phosphorylase
EC 2.4.1.30,1 3-β-Oligoglucan phosphorylase
1 3-Propanediol dehydrogenase,1 3-Propanediol dehydrogenase
EC 1−1−1−202,1 3-Propanediol dehydrogenase
3-Hydroxypropionaldehyde reductase,1 3-Propanediol dehydrogenase
EC 1.1.1.202,1 3-Propanediol dehydrogenase
(1 4)-α-D-Glucan 1-α-D--glucosylmutase,(1 4)-α-D-Glucan 1-α-D--glucosylmutase
