term,replacement
material entity,material_entity
material entities,material_entity
disposition,disposition
dispositions,disposition
capability,capability
capabilities,capability
function,function
functions,function
potentiality,potentiality
potentialities,potentiality
process,process
processes,process
information entity,information_entity
information entities,information_entity
information content entity,information_content_entity
information content entities,information_content_entity
quality,quality
qualities,quality
phenomenon,phenomenon
phenomena,phenomenon
empirical effect,empirical_effect
empirical effects,empirical_effect
empirical generalization,empirical_generalization
empirical generalizations,empirical_generalization
general empirical observation,general_empirical_observation
general empirical observations,general_empirical_observation
brain lobe,brain_lobe
brain lobes,brain_lobe
lobe of the brain,lobe_of_the_brain
lobes of the brain,lobe_of_the_brain
brain,brain
brains,brain
limbic lobe,limbic_lobe
limbic lobes,limbic_lobe
limbic system,limbic_system
limbic systems,limbic_system
frontal lobe,frontal_lobe
frontal lobes,frontal_lobe
frontal cortex,frontal_cortex
frontal cortexes,frontal_cortex
frontal region,frontal_region
frontal regions,frontal_region
parietal lobe,parietal_lobe
parietal lobes,parietal_lobe
parietal cortex,parietal_cortex
parietal cortexes,parietal_cortex
temporal lobe,temporal_lobe
temporal lobes,temporal_lobe
temporal cortex,temporal_cortex
temporal cortexes,temporal_cortex
temporal region,temporal_region
temporal regions,temporal_region
interference,interference
interferences,interference
memory process,memory_process
memory processes,memory_process
associative blocking,associative_blocking
associative blockings,associative_blocking
proactive interference,proactive_interference
proactive interferences,proactive_interference
proactive inhibition,proactive_inhibition
proactive inhibitions,proactive_inhibition
retroactive interference,retroactive_interference
retroactive interferences,retroactive_interference
retroactive inhibition,retroactive_inhibition
retroactive inhibitions,retroactive_inhibition
interference resolution,interference_resolution
interference resolutions,interference_resolution
interference control,interference_control
interference controls,interference_control
inhibition,inhibition
inhibitions,inhibition
suppression,suppression
suppressions,suppression
perceptual interference effect,perceptual_interference_effect
perceptual interference effects,perceptual_interference_effect
forgetting,forgetting
forgetting,forgetting
forgetfulness,forgetfulness
forgetfulness,forgetfulness
oblivescence,oblivescence
oblivescences,oblivescence
oblivion,oblivion
oblivion,oblivion
obliviscence,obliviscence
obliviscences,obliviscence
output interference,output_interference
output interferences,output_interference
semantic blocking effect,semantic_blocking_effect
semantic blocking effects,semantic_blocking_effect
category interference effect,category_interference_effect
category interference effects,category_interference_effect
dual task paradigm,dual_task_paradigm
dual task paradigms,dual_task_paradigm
concurrent task,concurrent_task
concurrent tasks,concurrent_task
organ,organ
organs,organ
brain network,brain_network
brain networks,brain_network
brain fasciculus,brain_fasciculus
brain fasciculi,brain_fasciculus
thalamus,thalamus
thalami,thalamus
cerebellum,cerebellum
cerebella,cerebellum
event-related potentials,event-related_potentials
event-related potentials,event-related_potentials
ERP,ERP
ERP,ERP
subsequent memory effect,subsequent_memory_effect
subsequent memory effects,subsequent_memory_effect
Dm effect,Dm_effect
Dm effects,Dm_effect
difference due to memory,difference_due_to_memory
differences due to memory,difference_due_to_memory
sensory reactivation hypothesis,sensory_reactivation_hypothesis
sensory reactivation hypotheses,sensory_reactivation_hypothesis
paradoxal sleep,paradoxal_sleep
paradoxal sleep,paradoxal_sleep
REM sleep,REM_sleep
REM sleep,REM_sleep
rapid eye movement sleep,rapid_eye_movement_sleep
rapid eye movement sleep,rapid_eye_movement_sleep
long-term depression,long-term_depression
long-term depressions,long-term_depression
old/new effect,old/new_effect
old/new effects,old/new_effect
repetition enhancement,repetition_enhancement
repetition enhancements,repetition_enhancement
long-term potentiation,long-term_potentiation
long-term potentiations,long-term_potentiation
LTP,LTP
LTPS,LTP
long-term synaptic potentiation,long-term_synaptic_potentiation
long-term synaptic potentiations,long-term_synaptic_potentiation
FN400 wave,FN400_wave
FN400 waves,FN400_wave
frontal N400,frontal_N400
frontal N400S,frontal_N400
repetition suppression,repetition_suppression
repetition suppressions,repetition_suppression
neurophysiological method,neurophysiological_method
neurophysiological methods,neurophysiological_method
study method,study_method
study methods,study_method
transcranial direct current stimulation,transcranial_direct_current_stimulation
transcranial direct current stimulations,transcranial_direct_current_stimulation
tDCS,tDCS
tDCS,tDCS
functional magnetic resonance imaging,functional_magnetic_resonance_imaging
functional magnetic resonance imagings,functional_magnetic_resonance_imaging
fMRI,fMRI
fmris,fMRI
functional MRI,functional_MRI
functional MRIS,functional_MRI
functional near-infrared spectroscopy,functional_near-infrared_spectroscopy
functional near-infrared spectroscopies,functional_near-infrared_spectroscopy
fNIRS,fNIRS
fNIRS,fNIRS
functional near-infrared imaging,functional_near-infrared_imaging
functional near-infrared imagings,functional_near-infrared_imaging
electroencephalography,electroencephalography
electroencephalography,electroencephalography
EEG,EEG
EEGS,EEG
diffusion tensor imaging,diffusion_tensor_imaging
diffusion tensor imagings,diffusion_tensor_imaging
DTI,DTI
DTI,DTI
DTI MRI,DTI_MRI
DTI MRI,DTI_MRI
diffusion tensor MRI,diffusion_tensor_MRI
diffusion tensor MRIS,diffusion_tensor_MRI
diffusion tensor image analysis,diffusion_tensor_image_analysis
diffusion tensor image analyses,diffusion_tensor_image_analysis
diffusion tensor magnetic resonance imaging,diffusion_tensor_magnetic_resonance_imaging
diffusion tensor magnetic resonance imagings,diffusion_tensor_magnetic_resonance_imaging
diffusion weighted imaging,diffusion_weighted_imaging
diffusion weighted imaging,diffusion_weighted_imaging
tractography,tractography
tractographies,tractography
magnetoencephalography,magnetoencephalography
magnetoencephalographies,magnetoencephalography
MEG,MEG
MEG,MEG
magnetoencephalogram,magnetoencephalogram
magnetoencephalograms,magnetoencephalogram
transcranial magnetic stimulation,transcranial_magnetic_stimulation
transcranial magnetic stimulations,transcranial_magnetic_stimulation
TMS,TMS
TMS,TMS
optogenetics,optogenetics
optogenetics,optogenetics
optogenetic stimulation,optogenetic_stimulation
optogenetic stimulations,optogenetic_stimulation
phenomenological characteristic of memory,phenomenological_characteristic_of_memory
phenomenological characteristics of memory,phenomenological_characteristic_of_memory
memory phenomenology,memory_phenomenology
memory phenomenologies,memory_phenomenology
phenomenal characteristic,phenomenal_characteristic
phenomenal characteristics,phenomenal_characteristic
cognitive quality,cognitive_quality
cognitive qualities,cognitive_quality
narrative coherence,narrative_coherence
narrative coherence,narrative_coherence
autobiographical memory coherence,autobiographical_memory_coherence
autobiographical memory coherence,autobiographical_memory_coherence
coherent autobiographical memory,coherent_autobiographical_memory
coherent autobiographical memories,coherent_autobiographical_memory
mental time travel,mental_time_travel
mental time travel,mental_time_travel
field point of view,field_point_of_view
field points of view,field_point_of_view
